#Aegean version 2.3.0-(2022-08-17)
# on dataset: /mnt/storage-work/wushaofeng/work/sim/ska1-low/SDP-39/sim2/QA_new/aegean/CIP_t1_SDP-39_sim2_noise1e-5_fov4.5_nmoment3_cip.taylor.0.restored.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0059,00) -0.000029  0.000522 23:12:59.15  -10:17:20.94 348.2464398  0.0000234 -10.2891509  0.0000236  0.023722  0.000492  0.025389  0.000543  8.62  0.03  8.53  0.03   64.2   1.3   0000000
(0060,00) -0.000028  0.000533 23:09:08.19  -10:17:15.72 347.2841170  0.0000293 -10.2876989  0.0000285  0.019617  0.000522  0.020534  0.000570  8.74  0.05  8.23  0.05   59.0   0.3   0000000
(0061,00) -0.000017  0.000634 23:16:45.46  -10:16:52.69 349.1893975  0.0000164 -10.2813015  0.0000162  0.040768  0.000609  0.042475  0.000655  8.58  0.02  8.35  0.02   63.0   0.4   0000000
(0062,00) -0.000017  0.000411 23:05:24.37  -10:16:55.67 346.3515228  0.0000464 -10.2821294  0.0000491  0.009206  0.000394  0.009980  0.000441  8.88  0.06  8.40  0.07  -26.5   0.5   0000000
(0063,00) -0.000004  0.000602 23:13:28.63  -10:16:54.77 348.3692806  0.0000156 -10.2818801  0.0000150  0.042617  0.000689  0.045405  0.000753  8.90  0.02  8.24  0.02   62.7   0.1   0000000
(0065,00)  0.000013  0.001984 23:00:54.91  -10:16:25.44 345.2287884  0.0001523 -10.2737336  0.0001664  0.014191  0.001874  0.018296  0.002538  9.91  0.25  8.95  0.31  -31.0   0.9   0000000
(0066,00) -0.000010  0.000758 23:03:39.52  -10:16:27.44 345.9146803  0.0000017 -10.2742887  0.0000023  0.321031      nan  0.327040  0.000163  8.57  0.00  8.17  0.00   60.9   0.1   0000000
(0067,00) -0.000068  0.001195 23:16:24.29  -10:16:18.30 349.1012141  0.0002073 -10.2717486  0.0001863  0.006913  0.001165  0.007919  0.001417  9.81  0.45  8.03  0.31   55.5   0.7   0000000
(0068,00) -0.000029  0.000441 23:05:14.34  -10:16:12.41 346.3097339  0.0001181 -10.2701130  0.0001384  0.003828  0.000413  0.004676  0.000527 10.19  0.16  8.24  0.23  -28.3   0.3   0000000
(0069,00) -0.000030  0.000563 23:13:16.95  -10:16:01.02 348.3206058  0.0000456 -10.2669495  0.0000475  0.013395  0.000534  0.015888  0.000658  9.30  0.07  8.77  0.08  -28.8   0.5   0000000
(0070,00) -0.000019  0.000350 23:07:05.94  -10:15:51.24 346.7747452  0.0000493 -10.2642346  0.0000492  0.007552  0.000340  0.007897  0.000368  8.56  0.07  8.40  0.07   62.4   1.7   0000000
(0071,00) -0.000015  0.000609 23:13:31.51  -10:15:52.16 348.3813093  0.0001891 -10.2644876  0.0001728  0.003471  0.000599  0.003145  0.000577  8.74  0.41  7.13  0.28   52.4   0.6   0000000
