#======== CAESAR RESULTS ======
# This ascii file contains source islands (or blobs) found by CAESAR.
# Source parameters are described in the header below.
# NB: Fitted components, if available, are reported in a different ascii file. 
#     We include here the total fitted flux density summed over all components.
#
# ---- HEADER ----
# name - Source name assigned by finder
# iauName - Source name in IAU notation
# npix - Number of pixels in source
# nComponents - Number of fitted components (=0 if fit not performed or failed)
# nNestedSources - Number of nested sources detected
# x - Source centroid in image coordinates along x axis 
# y - Source centroid in image coordinates along y axis 
# x_w - Source centroid in image coordinates along x axis, weighted by pixel fluxes 
# y_w - Source centroid in image coordinates along y axis, weighted by pixel fluxes 
# x_wcs - Source centroid in selected WCS coordinate (deg) along x axis
# y_wcs - Source centroid in selected WCS coordinate (deg) along y axis
# x_w_wcs - Source centroid in selected selected WCS coordinate (deg) along x axis, weighted by pixel fluxes
# y_w_wcs - Source centroid in selected selected WCS coordinate (deg) along y axis, weighted by pixel fluxes
# xmin - Source minimum pixel image coordinate along x axis
# xmax - Source maximum pixel image coordinate along x axis
# ymin - Source minimum pixel image coordinate along y axis
# ymax - Source maximum pixel image coordinate along y axis
# xmin_wcs - Source minimum pixel WCS coordinate (deg) along x axis
# xmax_wcs - Source maximum pixel WCS coordinate (deg) along x axis
# ymin_wcs - Source minimum pixel WCS coordinate (deg) along y axis
# ymax_wcs - Source maximum pixel WCS coordinate (deg) along y axis
# nu - Spectral axis value present in image header. If frequency it is given in GHz units.
# Stot - Sum of source pixel brightness in Jy/beam units.
# Smax - Maximum source pixel flux in Jy/beam units.
# S - Fitted source flux density in Jy units
# SErr - Fitted source flux density error in Jy units
# beamArea - Number of pixels in beam. Used to convert flux parameters from Jy/beam to Jy/pixel (e.g. Jy/pixel=Jy/beam/beamarea).
# bkgSum - Background estimator summed over all source pixels (in Jy/beam).
# rmsSum - Noise (rms) estimator summed over all source pixels (in Jy/beam).
# morphId - Source morphology tag (eUnknownMorph=0, eCompact=1, ePointLike=2, eExtended=3, eCompactPlusExtended=4, eDiffuse=5)
# sourcenessId - Sourceness flag (eReal=1, eCandidate=2, eFake=3)
# isGoodSource - Bool flag indicating if source was tagged as good (true) or bad (false) in the finding process
# sourceNestedLevel - Source nested level (0=mother source,1=nested source,...)
# ---------------
#
# name	iauName	npix	nComponents	nNestedSources	x	y	x_w	y_w	x_wcs(deg)	y_wcs(deg)	x_w_wcs(deg)	y_w_wcs(deg)	xmin	xmax	ymin	ymax	xmin_wcs(deg)	xmax_wcs(deg)	ymin_wcs(deg)	ymax_wcs(deg)	nu(GHz)	Stot(Jy/beam)	Smax(Jy/beam)	S(Jy)	Serr(Jy)	beamArea	bkgSum(Jy/beam)	rmsSum(Jy/beam)	morphId	sourcenessId	isGoodSource	sourceNestedLevel	
S23	J231610.451-101955.88	27	0	0	2663.93	56.4074	2663.96	56.367	349.04354	-10.33219	349.04353	-10.332201	2662	2666	54	59	349.04409	349.04296	-10.33285	-10.33148	0	0.75859747	0.035740759	0	0	79.632425	0	0.13619298	2	2	1	0
S24	J231608.595-101951.99	27	0	0	2691.59	60.4444	2691.61	60.4501	349.03581	-10.331109	349.03581	-10.331108	2689	2694	58	63	349.03654	349.03514	-10.331778	-10.330409	0	0.73990037	0.034819752	0	0	79.632425	0	0.13606766	2	2	1	0
S25	J231609.634-101945.22	34	0	0	2676.06	67.2353	2676.05	67.2509	349.04014	-10.329226	349.04014	-10.329222	2672	2680	65	70	349.04128	349.03904	-10.329837	-10.328471	0	0.99619731	0.039771076	0	0	79.632425	0	0.17235169	2	2	1	0
S26	J231610.571-101939.77	19	0	0	2662.05	72.6842	2662.06	72.6826	349.04405	-10.327714	349.04404	-10.327715	2660	2664	71	75	349.04462	349.0435	-10.328175	-10.32708	0	0.43900597	0.026385181	0	0	79.632425	0	0.095766212	2	2	1	0
S27	J231609.594-101931.01	17	0	0	2676.59	81.5882	2676.58	81.5934	349.03997	-10.325282	349.03998	-10.32528	2674	2679	80	83	349.0407	349.0393	-10.325716	-10.324896	0	0.39606192	0.02609379	0	0	79.632425	0	0.086194378	2	2	1	0
S28	J231606.602-101916.07	21	0	0	2721.14	96.8571	2721.16	96.8239	349.02751	-10.321131	349.02751	-10.32114	2719	2723	94	100	349.02811	349.02699	-10.321914	-10.320269	0	0.45483921	0.024790667	0	0	79.632425	0	0.098851024	2	2	1	0
S29	J231609.172-101910.97	23	0	0	2682.78	101.87	2682.83	101.85	349.03822	-10.319714	349.0382	-10.319719	2680	2685	100	104	349.039	349.03759	-10.320225	-10.319131	0	0.61881527	0.033589434	0	0	79.632425	-4.6980589e-05	0.11526232	2	2	1	0
S30	J231608.626-101847.74	16	0	0	2690.81	125.375	2690.78	125.389	349.03594	-10.313261	349.03595	-10.313258	2689	2693	124	127	349.03645	349.03533	-10.313637	-10.312817	0	0.36525411	0.025722161	0	0	79.632425	3.662639e-06	0.077013027	2	2	1	0
S31	J231603.637-101743.08	1297	0	0	2764.94	190.997	2769.65	180.775	349.01516	-10.295301	349.01385	-10.298115	2745	2786	170	212	349.02075	349.00925	-10.301052	-10.28955	0	-1.2590189	0.0095742093	0	0	79.632425	-0.0036565613	3.3934066	1	2	1	0
S32	J231602.110-101753.75	23	0	0	2787.78	180.304	2787.74	180.299	349.00879	-10.298263	349.0088	-10.298265	2786	2790	178	183	349.00929	349.00817	-10.298895	-10.297525	0	0.23921837	0.011596957	0	0	79.632425	0.00021854648	0.0519812	2	2	1	0
S33	J231603.817-101714.13	24	0	0	2762.12	220.25	2762.13	220.252	349.0159	-10.287258	349.0159	-10.287257	2760	2764	217	223	349.0165	349.01537	-10.288149	-10.286504	0	0.26615823	0.012591282	0	0	79.632425	-0.00086252278	0.058723867	2	2	1	0
S34	J231529.325-101744.88	1297	0	0	3276.94	190.997	3302.5	178.974	348.87219	-10.295801	348.86506	-10.299129	3257	3298	170	212	348.87778	348.86628	-10.301553	-10.290047	0	-0.065773076	0.0014061343	0	0	79.632425	-0.052538541	0.8079149	1	2	1	0
S35	J231502.000-101858.87	143	0	0	3684.98	117.545	3684.89	117.601	348.75833	-10.316352	348.75836	-10.316337	3678	3691	111	124	348.76029	348.75664	-10.318146	-10.314583	0	0.85296401	0.012488373	0	0	79.632425	-0.0013813429	0.080334567	2	2	1	0
S36	J231455.014-101746.50	1297	0	0	3788.94	190.997	3802.39	197.804	348.72922	-10.296251	348.72546	-10.294391	3769	3810	170	212	348.73481	348.72332	-10.302006	-10.290496	0	-0.050748356	0.001522086	0	0	79.632425	-0.016521091	1.0401667	1	2	1	0
S37	J231437.794-101521.03	111	0	0	4045.38	338.775	4045.34	338.735	348.65747	-10.25584	348.65749	-10.255851	4040	4051	333	344	348.65898	348.6559	-10.257423	-10.254409	0	0.79767801	0.013846868	0	0	79.632425	-0.0006121633	0.084599329	2	2	1	0
S38	J231420.705-101747.95	1297	0	0	4300.94	190.997	4324.54	207.719	348.58627	-10.296652	348.57967	-10.292073	4281	4322	170	212	348.59186	348.58037	-10.302408	-10.290894	0	0.013858378	0.0016585079	0	0	79.632425	-0.015699296	0.87834771	1	2	1	0
S39	J231421.623-101345.48	102	0	0	4286.4	436	4286.46	435.966	348.5901	-10.229301	348.59008	-10.229311	4281	4292	431	441	348.59161	348.58853	-10.230672	-10.227931	0	0.43763774	0.007637593	0	0	79.632425	-0.0025979621	0.053978889	2	2	1	0
S40	J231359.506-102045.62	43	0	0	4617.86	12.2558	4617.86	12.2454	348.49794	-10.346004	348.49794	-10.346007	4614	4622	10	15	348.49902	348.49678	-10.346622	-10.345253	0	0.13151118	0.0036390056	0	0	79.632425	-0.00083417663	0.027032747	2	2	1	0
S41	J231333.509-101832.74	268	0	0	5005.41	147.437	5005.42	147.456	348.38962	-10.309095	348.38962	-10.30909	4997	5014	139	156	348.39197	348.38721	-10.311409	-10.306747	0	5.5041824	0.069371991	0	0	79.632425	-0.002633732	0.16156163	1	2	1	0
S42	J231327.475-101827.36	110	0	0	5095.45	153.073	5095.49	153.02	348.36448	-10.307599	348.36447	-10.307614	5090	5101	148	159	348.366	348.36292	-10.308991	-10.305974	0	0.50535867	0.0077538854	0	0	79.632425	0	0.066404534	2	2	1	0
S43	J231346.397-101749.21	1297	0	0	4812.94	190.997	4817.76	193.315	348.44332	-10.297003	348.44197	-10.296369	4793	4834	170	212	348.44891	348.43742	-10.302761	-10.291243	0	-0.052274446	0.0014157534	0	0	79.632425	-0.032848321	0.76057782	1	2	1	0
S44	J231328.596-101654.87	246	0	0	5078.46	246.508	5078.18	246.583	348.36915	-10.281908	348.36923	-10.281887	5070	5087	238	254	348.37152	348.36676	-10.284241	-10.279854	0	3.4282066	0.042420864	0	0	79.632425	-0.0007674718	0.14809567	1	2	1	0
S45	J231331.503-101552.26	29	0	0	5034.9	309.69	5034.88	309.695	348.38126	-10.264516	348.38127	-10.264515	5033	5037	307	313	348.38179	348.38067	-10.265255	-10.263608	0	0.083377537	0.0034074222	0	0	79.632425	-0.00066989188	0.017588949	2	2	1	0
S46	J231328.837-101314.17	154	0	0	5074.25	469.552	5074.28	469.662	348.37016	-10.220602	348.37015	-10.220571	5067	5081	463	476	348.37218	348.36827	-10.222398	-10.218833	0	1.025343	0.014273711	0	0	79.632425	-0.0054839197	0.096177228	2	2	1	0
S47	J231258.521-102019.30	110	0	0	5527.82	40.8	5527.8	40.8056	348.24384	-10.338694	348.24384	-10.338693	5522	5534	36	46	348.24546	348.24211	-10.340011	-10.337268	0	0.51333115	0.0076781744	0	0	79.632425	-0.0041649241	0.066062452	2	2	1	0
S48	J231312.091-101750.30	1297	0	0	5324.94	190.997	5332.16	190.593	348.30038	-10.297305	348.29836	-10.29742	5305	5346	170	212	348.30596	348.29448	-10.303065	-10.291543	0	-0.13823362	0.0017804997	0	0	79.632425	-0.017685069	0.79571623	1	2	1	0
S49	J231259.137-101720.69	211	0	0	5518.2	221.289	5518.13	221.116	348.2464	-10.28908	348.24643	-10.289127	5510	5526	214	229	348.2487	348.24422	-10.291079	-10.286964	0	1.851082	0.023768626	0	0	79.632425	-0.0067436506	0.10944307	2	2	1	0
S50	J231316.950-101601.19	167	0	0	5252.14	301.12	5252.18	301.208	348.32062	-10.266997	348.32061	-10.266972	5245	5259	294	308	348.32262	348.3187	-10.26895	-10.26511	0	1.0519048	0.01320898	0	0	79.632425	-0.0052558786	0.097841075	2	2	1	0
S51	J231237.786-101751.21	1297	0	0	5836.94	190.997	5724.19	2.28096	348.15744	-10.297557	348.18903	-10.349377	5817	5858	170	212	348.16302	348.15155	-10.303319	-10.291793	0	-0.0078818391	0.0014022886	0	0	79.632425	-0.0075114017	0.78696463	1	2	1	0
S52	J231203.482-101751.94	1297	0	0	6348.94	190.997	6397.22	329.602	348.01451	-10.29776	348.00097	-10.25968	6329	6370	170	212	348.02008	348.00862	-10.303524	-10.291994	0	0.0067425893	0.002138322	0	0	79.632425	-0.045359915	0.83198754	1	2	1	0
S53	J231129.178-101752.49	1297	0	0	6860.94	190.997	6843.06	176.4	347.87158	-10.297913	347.87657	-10.301921	6841	6882	170	212	347.87715	347.86569	-10.303679	-10.292145	0	-0.12076554	0.0023097221	0	0	79.632425	0.029347408	1.2959057	1	2	1	0
S54	J231110.098-101739.54	111	0	0	7145.71	204.315	7145.68	204.341	347.79207	-10.294316	347.79208	-10.294309	7140	7151	199	210	347.79367	347.7906	-10.295776	-10.292755	0	0.56666492	0.0087488741	0	0	79.632425	0.0025265698	0.076382672	2	2	1	0
S55	J231113.378-101416.29	281	0	0	7096.56	409.687	7096.53	409.769	347.80574	-10.237859	347.80575	-10.237836	7087	7105	401	418	347.80841	347.80338	-10.240245	-10.235576	0	6.0763448	0.0767821	0	0	79.632425	-0.0072521163	0.15523237	1	2	1	0
S56	J231101.468-102012.61	17	0	0	7274.65	49.7059	7274.64	49.7455	347.75612	-10.336837	347.75612	-10.336826	7272	7277	48	51	347.75686	347.75546	-10.337305	-10.336481	0	0.0943165	0.0065081306	0	0	79.632425	-0.00045451502	0.019472258	2	2	1	0
S57	J231100.685-102002.11	28	0	0	7286.32	60.3214	7286.31	60.3279	347.75285	-10.333921	347.75286	-10.333919	7284	7289	58	63	347.7535	347.75211	-10.334559	-10.333185	0	0.16192996	0.0072068395	0	0	79.632425	-0.00046587356	0.030971688	2	2	1	0
S58	J231101.758-101955.96	171	0	0	7270.3	66.5322	7270.35	66.6127	347.75733	-10.332211	347.75731	-10.332189	7263	7277	60	73	347.75937	347.75545	-10.334005	-10.330434	0	3.5949183	0.045285381	0	0	79.632425	-0.0052151096	0.19837107	2	2	1	0
S59	J231043.277-101820.53	161	0	0	7546.07	163.124	7545.99	163.033	347.68032	-10.305702	347.68034	-10.305727	7540	7553	156	170	347.68201	347.67838	-10.307659	-10.303813	0	1.2301427	0.017806169	0	0	79.632425	0.0006655835	0.094613883	2	2	1	0
S60	J231036.060-101816.06	200	0	0	7653.78	167.685	7653.68	167.701	347.65025	-10.30446	347.65028	-10.304456	7646	7661	160	175	347.65242	347.64823	-10.306572	-10.302451	0	2.5494522	0.035035606	0	0	79.632425	0.0013644478	0.11939625	2	2	1	0
S61	J231054.875-101752.86	1297	0	0	7372.94	190.997	7366.37	189.259	347.72865	-10.298017	347.73048	-10.298494	7353	7394	170	212	347.73422	347.72276	-10.303785	-10.292247	0	-0.59703863	0.0021433425	0	0	79.632425	-0.080065305	0.94719247	1	2	1	0
S62	J231101.824-101509.41	100	0	0	7269.09	356.12	7269.07	356.09	347.7576	-10.252615	347.7576	-10.252623	7264	7274	351	362	347.75902	347.75623	-10.254021	-10.251	0	0.45778682	0.0076836129	0	0	79.632425	-0.0013858634	0.062096302	2	2	1	0
S63	J231035.212-101429.33	96	0	0	7666.33	396.823	7666.4	396.822	347.64672	-10.241482	347.6467	-10.241482	7661	7671	392	402	347.64821	347.64541	-10.242807	-10.240059	0	0.45383189	0.0077780704	0	0	79.632425	0.00029223908	0.060718573	2	2	1	0
S64	J231020.572-101753.06	1297	0	0	7884.94	190.997	7888.52	220.466	347.58572	-10.298071	347.58472	-10.289972	7865	7906	170	212	347.59129	347.57984	-10.303841	-10.2923	0	0.029938206	0.0019020189	0	0	79.632425	-0.023530346	0.75908714	1	2	1	0
S65	J231005.859-101753.51	53	0	0	8104.55	190.566	8104.56	190.613	347.52441	-10.298198	347.52441	-10.298185	8101	8108	187	194	347.5254	347.52345	-10.299178	-10.297254	0	0.14542708	0.0037021514	0	0	79.632425	-0.00081319321	0.025774841	2	2	1	0
S66	J231026.802-101350.26	53	0	0	7791.87	436.358	7791.85	436.322	347.61168	-10.230626	347.61168	-10.230636	7788	7795	433	440	347.61276	347.6108	-10.231549	-10.229626	0	0.15873511	0.0039782259	0	0	79.632425	-0.0015064591	0.028146102	2	2	1	0
S67	J230928.895-101915.94	63	0	0	8656.24	107.19	8656.26	107.21	347.3704	-10.321095	347.37039	-10.32109	8652	8660	103	111	347.37158	347.36935	-10.322247	-10.320048	0	0.26710557	0.0061785686	0	0	79.632425	-0.0010211654	0.042645219	2	2	1	0
S68	J230942.905-101906.43	21	0	0	8447.14	116.857	8447.13	116.85	347.42877	-10.318452	347.42878	-10.318454	8445	8449	115	119	347.42937	347.42825	-10.318963	-10.317863	0	0.057215823	0.0030552743	0	0	79.632425	-0.00071562923	0.012720424	2	2	1	0
S69	J230946.270-101753.07	1297	0	0	8396.94	190.997	8383.71	198.992	347.44279	-10.298076	347.44648	-10.295879	8377	8418	170	212	347.44836	347.43691	-10.303848	-10.292303	0	0.059855477	0.0011903541	0	0	79.632425	-0.040579386	0.75631029	1	2	1	0
S70	J230935.569-101502.27	58	0	0	8556.71	363.586	8556.67	363.592	347.39821	-10.250631	347.39822	-10.250629	8553	8561	360	367	347.39924	347.39701	-10.251616	-10.249692	0	0.20406577	0.0047374684	0	0	79.632425	0.0001223517	0.036428372	2	2	1	0
S71	J230939.465-101402.31	178	0	0	8498.57	424.202	8498.62	424.226	347.41444	-10.233974	347.41442	-10.233967	8491	8505	417	431	347.41655	347.41264	-10.235954	-10.232105	0	1.4610842	0.019886499	0	0	79.632425	-9.516662e-05	0.10933548	2	2	1	0
