# Number of sources: 8064
# RA (deg), Dec (deg), I (Jy), Q (Jy), U (Jy), V (Jy), Ref. freq. (Hz), Spectral index, Rotation measure (rad/m^2), FWHM major (arcsec), FWHM minor (arcsec), Position angle (deg)
 350.140350, -10.042640, 2.681871e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.311837e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 344.897797, -10.153136, 5.811721e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.568899e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.453430, -10.089812, 2.065740e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.077129e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 344.746033, -10.070300, 3.498754e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.026769e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.923828, -10.016121, 1.599913e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.175678e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.968964, -10.053777, 9.706049e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.196387e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.648163, -10.072259, 1.420488e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.974522e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.164185, -10.014593, 5.118588e-03, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.986572, -10.031446, 1.783784e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.863490e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.313293, -10.002732, 6.070920e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.151209e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 350.115051,  -9.945802, 7.700384e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.090729, -10.012558, 2.195873e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.351116e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.836334, -10.005217, 7.586940e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.470184, -10.001370, 5.002836e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.028651e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.777893,  -9.959667, 1.186766e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.606575e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.473907, -11.545043, 1.268622e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.021201e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.514404, -11.525942, 1.649584e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.050523e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.984039,  -9.988067, 4.275235e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.300293, -10.020823, 4.240365e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.708191,  -9.914708, 5.536288e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.448975e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.348846,  -9.998333, 1.100969e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.235563e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 344.689056,  -9.985590, 9.678940e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.675052e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.245880,  -9.914873, 1.594633e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.235399e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.472900,  -9.943301, 7.296363e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.552582,  -9.845907, 1.677690e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.951416e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.501373,  -9.874209, 7.604232e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 344.555176,  -9.970924, 1.166602e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.958012e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
